true_pos,obs_pos,true_var
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,309,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,289,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,316,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,295,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,311,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,312,15
304,303,15
304,303,15
304,303,15
304,303,15
304,303,15
304,303,15
304,303,15
304,303,15
304,333,15
304,333,15
304,333,15
304,333,15
304,333,15
304,333,15
304,333,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,285,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
304,308,15
